method,seed,kind,scenario,cost,viol,eff,tlp_gap,time
PPO,2,perturb,5,7.501058980468911,0,0.845473152879169,737.5139278398237,0.0033779144287109375
Constrained-SAC,2,nominal,-1,13.245869339048282,0,0.8393796104940129,63.768217530989205,0.00464320182800293
Constrained-SAC,2,perturb,0,12.099111407374117,0,0.8430916127720055,215.59990585434753,0.00464320182800293
Constrained-SAC,2,perturb,1,14.946920392411883,0,0.8357900897568281,143.81727351912377,0.00464320182800293
Constrained-SAC,2,perturb,2,11.386066204384086,0,0.8441394922584474,65.60273133413648,0.00464320182800293
Constrained-SAC,2,perturb,3,10.21639611405105,0,0.842991771355349,2.3695612938226986,0.00464320182800293
Constrained-SAC,2,perturb,4,13.454071902933672,0,0.8352990729791557,153.14241863816824,0.00464320182800293
Constrained-SAC,2,perturb,5,14.069379165961951,0,0.8394979380617688,52.86053873792844,0.00464320182800293
Distilled-MPC,2,nominal,-1,4.838851123673346,0,0.8390951031740043,79.85658343296745,0.0023097991943359375
Distilled-MPC,2,perturb,0,5.122799734878963,1,0.8393516387454055,68.99760457183947,0.0023097991943359375
Distilled-MPC,2,perturb,1,5.810245586395153,1,0.8416222195667422,119.11815987724731,0.0023097991943359375
Distilled-MPC,2,perturb,2,3.7770792026707904,3,0.8371536259450001,64.55074556836553,0.0023097991943359375
Distilled-MPC,2,perturb,3,5.665175222228198,1,0.8399451520843155,13.679456817788378,0.0023097991943359375
Distilled-MPC,2,perturb,4,5.0012016955853875,0,0.8343996280159246,71.21437300061007,0.0023097991943359375
Distilled-MPC,2,perturb,5,5.023421822195015,1,0.8396377206500403,16.46173300595001,0.0023097991943359375
SAC,3,nominal,-1,16.24390804599785,0,0.8265742200918814,526.0095960819344,0.004761934280395508
SAC,3,perturb,0,18.461551429180467,0,0.8269345236325424,458.1957368390158,0.004761934280395508
SAC,3,perturb,1,17.8582495395746,0,0.8246922034901579,611.0483680813304,0.004761934280395508
SAC,3,perturb,2,21.862293457981135,0,0.831379220416256,317.44546697489204,0.004761934280395508
SAC,3,perturb,3,16.59230942080761,0,0.8329001460810869,425.64287214235446,0.004761934280395508
SAC,3,perturb,4,18.741310856634207,0,0.8312381907396867,517.8067135097917,0.004761934280395508
