method,seed,kind,scenario,cost,viol,eff,tlp_gap,time
TD3,1,perturb,1,0.0,0,0.8317659681015162,1740.6819379629633,0.0032491683959960938
TD3,1,perturb,2,0.0,0,0.8341125494690554,1695.4726210662193,0.0032491683959960938
TD3,1,perturb,3,0.0,0,0.832571031385096,1719.6415435891795,0.0032491683959960938
TD3,1,perturb,4,0.0,0,0.8321514784445198,1702.762037635086,0.0032491683959960938
TD3,1,perturb,5,0.0,0,0.8308855879940394,1786.440022487648,0.0032491683959960938
PPO,1,nominal,-1,7.781380427377299,0,0.8401507888610178,17.009858594627076,0.0032410621643066406
PPO,1,perturb,0,6.3420906737160445,0,0.84108946261155,154.8226010034814,0.0032410621643066406
PPO,1,perturb,1,3.8334550139335297,0,0.8394724169345983,54.514509907983665,0.0032410621643066406
PPO,1,perturb,2,3.8293022449267577,0,0.8416751823617981,3.029243287128338,0.0032410621643066406
PPO,1,perturb,3,11.598510447360727,0,0.8402610608252227,31.609824584184025,0.0032410621643066406
PPO,1,perturb,4,3.8314374540197518,0,0.8397822962698784,12.945103266465594,0.0032410621643066406
PPO,1,perturb,5,7.795593652845545,0,0.8387238257658819,106.08976765717671,0.0032410621643066406
Constrained-SAC,1,nominal,-1,10.698684899797012,1,0.8463266635771479,6.098602392077737,0.004623889923095703
Constrained-SAC,1,perturb,0,10.748790578691489,1,0.845760002326369,22.48046043753493,0.004623889923095703
Constrained-SAC,1,perturb,1,11.827327828834473,1,0.8495726622972254,235.70836594048706,0.004623889923095703
Constrained-SAC,1,perturb,2,11.24258310610243,0,0.8508180214946957,50.25248550959077,0.004623889923095703
Constrained-SAC,1,perturb,3,10.586445745941685,0,0.8483967030938029,354.34515459298746,0.004623889923095703
Constrained-SAC,1,perturb,4,11.233957854441291,0,0.8506340045287538,187.76731915572964,0.004623889923095703
Constrained-SAC,1,perturb,5,10.992376599617293,0,0.8467374215401288,21.02638088961612,0.004623889923095703
Distilled-MPC,1,nominal,-1,6.232803350711579,2,0.8493449576250655,4.278857003646408,0.003718137741088867
Distilled-MPC,1,perturb,0,6.349067716612601,4,0.8494372144199619,14.25966661685743,0.003718137741088867
Distilled-MPC,1,perturb,1,7.648017999536876,2,0.8498426028625375,47.6283118467818,0.003718137741088867
Distilled-MPC,1,perturb,2,6.57547602892901,2,0.8495091683860148,184.50247084267357,0.003718137741088867
Distilled-MPC,1,perturb,3,8.994916785930316,3,0.84942665462725,8.49597698026264,0.003718137741088867
Distilled-MPC,1,perturb,4,7.650599413018928,2,0.8496054315204081,63.92981603302542,0.003718137741088867
Distilled-MPC,1,perturb,5,5.43710676112021,2,0.8503442225501328,179.16243674675934,0.003718137741088867
SAC,2,nominal,-1,6.323016644906438,0,0.84295756906887,43.95569495500604,0.004550933837890625
SAC,2,perturb,0,6.803694264743458,0,0.8437988019595161,49.69906118615836,0.004550933837890625
SAC,2,perturb,1,1.8957000701043463,0,0.841842105541034,547.2016647703313,0.004550933837890625
SAC,2,perturb,2,3.228250343525348,0,0.8418551515264688,170.0195390065619,0.004550933837890625
SAC,2,perturb,3,8.42400297931933,0,0.8431457363839808,180.7435387858677,0.004550933837890625
SAC,2,perturb,4,1.8983358229188303,0,0.8422342070293073,498.9836955578867,0.004550933837890625
SAC,2,perturb,5,6.8709427472586935,0,0.8416302751907069,74.89366580515889,0.004550933837890625
TD3,2,nominal,-1,0.0,0,0.8325102926238541,1706.428757442447,0.003265857696533203
TD3,2,perturb,0,0.0,0,0.8332775893875249,1746.5402786456743,0.003265857696533203
TD3,2,perturb,1,0.0,0,0.8317659681015162,1740.6819379629633,0.003265857696533203
TD3,2,perturb,2,0.0,0,0.8341125494690554,1695.4726210662193,0.003265857696533203
TD3,2,perturb,3,0.0,0,0.832571031385096,1719.6415435891795,0.003265857696533203
TD3,2,perturb,4,0.0,0,0.8321514784445198,1702.762037635086,0.003265857696533203
TD3,2,perturb,5,0.0,0,0.8308855879940394,1786.440022487648,0.003265857696533203
PPO,2,nominal,-1,7.781380427377299,0,0.8401507888610178,17.009858594627076,0.003237009048461914
PPO,2,perturb,0,8.350909907165937,0,0.8437572131676783,153.7633312475973,0.003237009048461914
PPO,2,perturb,1,3.8334550139335297,0,0.8394724169345983,54.514509907983665,0.003237009048461914
PPO,2,perturb,2,3.8293022449267577,0,0.8416751823617981,3.029243287128338,0.003237009048461914
PPO,2,perturb,3,11.598510447360727,0,0.8402610608252227,31.609824584184025,0.003237009048461914
PPO,2,perturb,4,3.8314374540197518,0,0.8397822962698784,12.945103266465594,0.003237009048461914
PPO,2,perturb,5,7.795593652845545,0,0.8387238257658819,106.08976765717671,0.003237009048461914
Constrained-SAC,2,nominal,-1,12.057404673562251,0,0.8573947471645198,379.8694205343563,0.0045969486236572266
Constrained-SAC,2,perturb,0,13.05033310279628,2,0.8576231679726104,161.12809728954198,0.0045969486236572266
Constrained-SAC,2,perturb,1,12.22875624584351,0,0.8568522333099139,394.69784327850175,0.0045969486236572266
Constrained-SAC,2,perturb,2,14.264111343964236,2,0.8560587430699825,70.67805576902174,0.0045969486236572266
Constrained-SAC,2,perturb,3,13.17814853321019,0,0.8572535602056824,46.879628667064026,0.0045969486236572266
Constrained-SAC,2,perturb,4,11.121708800472575,0,0.8572570094163247,160.1649290521582,0.0045969486236572266
Constrained-SAC,2,perturb,5,12.957273550609873,2,0.8574131785961706,266.65778394709196,0.0045969486236572266
Distilled-MPC,2,nominal,-1,6.26263265790465,3,0.8493649636323403,18.154916908504674,0.0029609203338623047
Distilled-MPC,2,perturb,0,5.644523390422826,2,0.8484829723658995,168.9133974670367,0.0029609203338623047
Distilled-MPC,2,perturb,1,7.666308138009999,2,0.8499313812993156,58.84991506432743,0.0029609203338623047
Distilled-MPC,2,perturb,2,6.712522535764578,2,0.8497871022778615,193.6814082226556,0.0029609203338623047
Distilled-MPC,2,perturb,3,8.773302381269186,3,0.8493986463866579,3.9691647179042775,0.0029609203338623047
Distilled-MPC,2,perturb,4,8.05504569908868,1,0.8496311615770988,54.387882937206086,0.0029609203338623047
Distilled-MPC,2,perturb,5,6.2053260671362285,2,0.8501934616906072,43.55718690735375,0.0029609203338623047
