#{"t_start": 1777344675.0154219, "env_id": "None"}
r,l,t
-3292.264703,365,1642.884504
-3238.953833,365,1656.461008
-3231.178549,365,1669.542187
-3245.329654,365,1683.925051
-3282.501052,365,1695.268827
-3250.357932,365,1707.287258
-3335.321568,365,1721.052962
-3278.141032,365,1734.857983
-3310.366753,365,1747.216864
-3243.769461,365,1761.559779
-3214.994871,365,1773.420513
-3305.245485,365,1784.924332
-3210.040973,365,1796.873937
-3243.587505,365,1809.056872
-3261.947552,365,1822.201327
-3238.113788,365,1835.369824
-3270.862319,365,1846.940748
-3221.212275,365,1861.624631
-3274.605988,365,1873.87308
-3309.784284,365,1886.024488
-3201.936382,365,1898.255756
-3187.393787,365,1912.340329
-3225.662371,365,1924.457916
-3245.120333,365,1936.142237
-3215.684815,365,1947.622342
-3247.166594,365,1959.339775
-3162.084256,365,1972.817648
-3201.396444,365,1985.506899
-3240.697922,365,1997.544934
-3219.831967,365,2011.844906
-3195.555415,365,2023.689818
-3268.992788,365,2038.057446
-3224.826536,365,2050.157531
-3196.32887,365,2063.364577
-3330.815001,365,2076.477414
-3378.744585,365,2088.644555
-3166.315693,365,2100.62819
-3235.242307,365,2112.888689
-3190.235615,365,2125.107006
-3237.351413,365,2138.492149
-3270.624624,365,2150.65644
-3250.877221,365,2163.924433
-3218.326008,365,2175.32255
-3130.025005,365,2187.368774
-3265.049787,365,2199.755544
-3311.77352,365,2214.35166
-3194.023249,365,2228.573115
-3210.961705,365,2242.644126
-3278.59672,365,2254.739169
-3182.697584,365,2266.862439
-3179.385114,365,2279.073094
-3203.869145,365,2291.173116
-3220.847503,365,2304.213841
-3187.650966,365,2317.723951
-3208.192023,365,2329.939478
-3215.524504,365,2342.123381
-3214.597577,365,2354.155626
-3246.118005,365,2366.13922
-3178.217396,365,2382.204392
-3144.863714,365,2394.904958
-3242.989106,365,2409.284011
-3172.444677,365,2421.551925
-3222.733402,365,2433.276387
-3237.404328,365,2445.15727
-3342.024583,365,2457.402876
-3294.164501,365,2470.171482
-3177.330159,365,2483.940946
-3205.523025,365,2495.719613
-3187.217942,365,2509.755253
-3209.252651,365,2523.67307
-3195.167847,365,2535.172423
-3207.447067,365,2547.603338
-3219.801929,365,2562.170323
-3306.621275,365,2575.26349
-3171.690579,365,2587.752254
-3203.042994,365,2599.65871
-3216.431959,365,2611.856541
-3245.02436,365,2623.919034
-3227.273654,365,2635.955856
-3198.993918,365,2649.691319
-3138.723338,365,2661.603066
-3137.641603,365,2673.522689
-3229.058527,365,2685.534002
-3172.572834,365,2692.034118
-3181.992362,365,2697.366239
-3144.604923,365,2704.078369
-3171.880656,365,2712.615665
-3184.880719,365,2718.729637
-3165.629696,365,2725.285239
-3205.801771,365,2731.938218
-3289.521719,365,2737.992226
-3186.597357,365,2744.494544
-3155.726277,365,2750.800967
-3186.303101,365,2757.176446
-3189.339838,365,2763.540286
-3179.807013,365,2770.110805
-3151.591559,365,2776.286067
-3198.916689,365,2782.985434
-3221.954781,365,2788.833077
-3182.430035,365,2797.703006
-3160.479636,365,2803.969834
-3152.594006,365,2810.46169
-3157.110915,365,2816.67033
-3169.217703,365,2823.348778
-3248.988719,365,2830.030936
-3165.436693,365,2836.502298
-3189.443265,365,2842.703764
-3150.506952,365,2849.195349
-3172.052132,365,2855.767883
-3185.17419,365,2862.145671
-3126.996016,365,2867.761138
-3184.175624,365,2874.136609
-3136.705495,365,2880.58476
-3170.02652,365,2888.857145
-3143.028788,365,2895.143737
-3218.937556,365,2901.446532
-3271.588492,365,2907.384699
-3154.927398,365,2914.019894
-3215.652214,365,2920.007879
-3175.029544,365,2926.261363
-3181.892223,365,2932.843255
-3170.777908,365,2939.366724
-3233.003434,365,2945.226306
-3170.174639,365,2951.756854
-3198.115597,365,2958.207116
-3179.910044,365,2964.349563
-3177.662807,365,2970.273391
-3092.562489,365,2979.132612
-3164.285937,365,2985.070153
-3280.623222,365,2991.709658
-3303.705649,365,2997.283819
-3225.119886,365,3003.905364
-3178.85906,365,3010.427
-3198.799877,365,3016.673613
-3261.013525,365,3023.06627
-3197.681878,365,3029.27925
-3204.587783,365,3035.814425
-3136.153678,365,3042.496896
-3157.754049,365,3048.928892
-3123.229098,365,3055.466307
-3291.32337,365,3064.31034
-3151.868656,365,3070.059103
-3157.858296,365,3076.452165
-3169.435331,365,3083.064512
-3165.180543,365,3089.589121
-3179.149263,365,3095.959209
-3149.291998,365,3102.325739
-3121.07973,365,3108.835503
-3185.274746,365,3115.326565
-3169.862106,365,3121.881679
-3203.146652,365,3128.053438
-3196.959689,365,3134.570209
-3176.51855,365,3141.159649
-3102.999945,365,3147.667016
-3118.735536,365,3156.094666
-3177.602012,365,3162.217808
-3237.388402,365,3168.811245
-3196.015171,365,3175.177931
-3318.699557,365,3181.205155
-3103.51387,365,3187.864054
-3188.903914,365,3194.469234
-3176.589843,365,3201.095237
-3196.994598,365,3207.33351
-3145.601938,365,3213.970721
-3125.121223,365,3220.568738
-3138.475786,365,3227.11291
-3130.391174,365,3233.494454
-3209.992422,365,3239.900383
-3201.22437,365,3248.71996
-3167.528979,365,3255.018406
-3114.513269,365,3261.405321
-3149.263348,365,3267.600041
-3178.905985,365,3274.100057
-3191.385522,365,3280.539692
-3168.221244,365,3286.695204
-3198.478044,365,3293.227716
-3180.965358,365,3298.434403
-3176.187447,365,3304.140122
-3146.630959,365,3310.345302
-3277.893208,365,3316.94647
-3207.587455,365,3323.570176
-3146.236493,365,3330.024143
-3194.801837,365,3338.202836
-3083.265452,365,3344.565881
-3314.914587,365,3351.044401
-3245.75633,365,3357.507956
-3179.660689,365,3363.949042
-3173.44956,365,3370.503712
-3171.958699,365,3377.029533
-3099.424271,365,3383.583905
-3153.836687,365,3389.898628
-3121.148096,365,3396.381013
-3177.4039,365,3402.987628
-3234.155746,365,3409.205418
-3154.335484,365,3415.554592
-3185.773401,365,3424.400081
-3157.790097,365,3430.190329
-3135.912824,365,3436.308819
-3128.671436,365,3442.772826
-3185.165964,365,3449.247321
-3074.004905,365,3455.566353
-3178.475067,365,3462.097936
-3172.833585,365,3468.386566
-3320.073372,365,3474.843406
-3104.094005,365,3481.233377
-3123.765221,365,3487.59834
-3057.036823,365,3493.397941
-3142.591371,365,3499.925627
-3131.052964,365,3505.976973
-3119.095313,365,3514.624693
-3180.313816,365,3520.393358
-3117.803962,365,3526.903112
-3146.070688,365,3533.603205
-3152.765859,365,3540.212918
-3107.322159,365,3546.435096
-3151.223919,365,3553.042428
-3130.136298,365,3559.656973
-3118.703467,365,3566.140438
-3008.34749,365,3572.137332
