day,phase,baseline_rate_10k,requested_rate_10k,actual_rate_10k,baseline_pressure_mpa,actual_pressure_mpa,inventory,compressor_4500_load,compressor_4000_load,renewable_share,station_power_kwh,grid_power_kwh,startup_shutdown_cost_yuan,operating_cost_yuan,penalty,inference_time_ms,reward
38,extraction,1035.1682926829267,1035.6532982930032,1035.6532982930032,11.505882352941175,13.445425063884487,0.6777446601620286,0.5832552909851074,0.38,0.5839173304290027,121825.38875728186,50689.43297565439,0.0,21289.561849774844,0.06659427638586476,1.0054159997707757,-11.200231990721774
39,extraction,1041.651219512195,1042.106778507087,1042.106778507087,11.141176470588235,13.136676636133629,0.668095523324,0.5819856524467468,0.38,0.5860701683391412,121737.83052318309,50390.919695219345,0.0,21164.186271992123,0.06510394755674473,1.0013330002038856,-11.146523948969948
40,extraction,1048.1341463414633,1048.5673324765953,1048.5673324765953,10.776470588235293,12.82750833452551,0.6583865665418093,0.5806477069854736,0.38,0.5883821123648048,121642.9494678514,50070.4139056718,0.0,21029.573840382156,0.06485048811412719,1.001791000362573,-11.090129547781956
41,extraction,1054.6170731707316,1055.056125657704,1055.056125657704,10.411764705882351,12.517586840507763,0.648617528341275,0.5793381333351135,0.38,0.5908151007397321,121551.34944524342,49736.97667770155,0.0,20889.530204634648,0.06475459744228529,1.6375410000364354,-11.032025680471266
42,extraction,1061.1,1061.707925248146,1061.707925248146,10.04705882352941,12.20531467633158,0.6387868994037921,0.5765508413314819,0.38,0.5933049449777812,121301.40772970581,49332.682690905305,0.0,20719.726730180228,0.10259734173310886,1.0735000000750006,-10.991181640121322
43,extraction,1051.8089743589742,1052.6331890203935,1052.6331890203937,9.682352941176468,11.893451989059047,0.6290402958017514,0.5699446797370911,0.38,0.5949772691906503,120518.24830328245,48812.630040154734,0.0,20501.30461686499,0.18646732734570923,1.06070899983024,-10.946076805633503
44,extraction,1042.5179487179487,1043.2020235724326,1043.2020235724326,9.317647058823528,11.585814368526135,0.6193810178057103,0.5595387816429138,0.38,0.5960503819700946,119321.97995847097,48200.06822679637,0.0,20244.028655254475,0.24625843729377547,1.0428330001559516,-10.837410916055331
45,extraction,1033.226923076923,1033.4526941404893,1033.452694140489,8.952941176470587,11.282388000133045,0.6098120113784835,0.5470897555351257,0.38,0.5966779271859934,117902.61028879254,47552.72517185782,0.0,19972.144572180285,0.2525027161833554,1.044999999976426,-10.656247267133228
46,extraction,1023.9358974358973,1023.5632278954371,1023.5632278954371,8.588235294117645,10.981209747427158,0.6003345740831554,0.5348438024520874,0.38,0.5965017360917955,116504.0962550624,47009.20057711203,0.0,19743.86424238705,0.2588561773358521,1.0527909998927498,-10.492938770326353
47,extraction,1014.6448717948717,1013.5340685907388,1013.5340685907387,8.223529411764705,10.68232931113434,0.5909499993739818,0.5230489373207092,0.38,0.5950893754529716,115153.22687741347,46626.765013539145,0.0,19583.24130568644,0.30137921193471073,1.0344579995944514,-10.39453232490228
