#{"t_start": 1777363659.051414, "env_id": "None"}
r,l,t
-3480.37314,365,251.000498
-3512.159368,365,254.047979
-3519.082817,365,257.088552
-3496.391888,365,260.275442
-3409.385336,365,263.7359
-3390.58375,365,266.822588
-3374.614831,365,270.773434
-3363.692908,365,274.10231
-3381.20769,365,277.09163
-3507.088358,365,281.374723
-3396.451442,365,284.560005
-3470.867512,365,287.827401
-3435.519038,365,291.829446
-3461.280669,365,294.778579
-3542.718076,365,297.73504
-3348.814712,365,300.85231
-3307.365652,365,303.933917
-3255.536419,365,307.087696
-3281.269832,365,309.965882
-3246.157482,365,313.23019
-3271.434163,365,317.339853
-3264.353669,365,321.699517
-3297.369447,365,325.930206
-3273.555749,365,331.750412
-3317.338704,365,334.849483
-3292.409892,365,337.783148
-3278.578458,365,340.654284
-3318.785587,365,343.610849
-3408.454008,365,346.588127
-3308.110569,365,349.614502
-3248.929055,365,352.701186
-3252.804266,365,355.882104
-3279.964504,365,359.382303
-3279.427254,365,362.507379
-3284.225065,365,365.598691
-3263.979501,365,368.783561
-3259.843065,365,372.049437
-3282.584161,365,376.595406
-3241.569286,365,379.482681
-3202.734493,365,382.383017
-3202.38147,365,385.493068
-3181.160819,365,388.562201
-3173.3542,365,391.746445
-3219.039009,365,394.894697
-3289.092946,365,397.972669
-3297.653755,365,400.927684
-3261.520381,365,404.449796
-3314.464976,365,407.421463
-3297.831479,365,410.383828
-3311.763496,365,413.374929
-3256.99011,365,417.68999
-3273.749397,365,420.747365
-3273.405594,365,424.172481
-3319.862272,365,427.363051
-3320.312475,365,430.38225
-3294.329222,365,433.773246
-3265.621062,365,437.002806
-3263.09753,365,440.103047
-3325.94557,365,443.010583
-3275.28289,365,445.91758
-3272.986146,365,449.204447
-3172.022245,365,451.97136
-3211.179806,365,455.076659
-3223.768899,365,458.060419
-3193.09346,365,462.412178
-3209.698497,365,465.431864
-3211.361301,365,468.42444
-3185.660516,365,471.765314
-3192.592349,365,475.17866
-3210.887603,365,478.682316
-3165.015532,365,481.98923
-3138.671016,365,485.577799
-3180.731417,365,489.224692
-3163.314949,365,492.538402
-3184.71913,365,495.725283
-3296.26834,365,499.181897
-3317.9489,365,502.210789
-3184.612664,365,505.825293
-3317.608276,365,510.288583
-3181.959766,365,513.571161
-3162.307795,365,516.711664
-3219.3064,365,520.248535
-3221.964135,365,523.559533
-3235.07265,365,526.555039
-3395.328168,365,529.828533
-3372.489018,365,532.821686
-3385.817118,365,535.847475
-3395.124628,365,539.497875
-3438.067616,365,543.082615
-3362.036765,365,546.51277
-3485.690732,365,549.469493
-3367.488868,365,552.96284
-3429.333935,365,557.495437
-3413.114494,365,560.696801
-3417.532217,365,564.013396
-3329.711834,365,567.330187
-3441.562479,365,570.758773
-3308.57928,365,574.238974
-3390.988095,365,577.444816
-3407.246733,365,581.036818
-3415.3267,365,584.664172
-3389.918372,365,588.215632
-3402.677624,365,591.39231
-3372.43436,365,594.796808
-3377.351709,365,598.453232
-3372.864581,365,603.151743
-3324.288709,365,606.034026
-3376.126,365,609.278203
-3317.779742,365,612.57976
-3340.574888,365,616.170827
-3188.121841,365,619.592486
-3289.512072,365,622.943049
-3186.074714,365,626.488737
-3282.204644,365,629.436336
-3298.794782,365,632.339995
-3325.907082,365,635.420866
-3258.290149,365,638.598094
-3138.934817,365,641.611567
-3257.005505,365,644.741478
-3242.612403,365,649.219971
-3230.569264,365,652.512086
-3224.534266,365,655.581711
-3323.166971,365,658.772842
-3237.313243,365,662.361645
-3237.222055,365,666.298939
-3266.457414,365,669.431958
-3269.479311,365,672.650324
-3169.00546,365,675.937166
-3227.094439,365,679.255259
-3227.578598,365,682.247556
-3149.777056,365,685.243543
-3147.538274,365,688.44681
-3143.500491,365,691.625552
-3141.956082,365,695.996803
-3169.449224,365,699.384374
-3146.419933,365,702.452581
-3159.535155,365,705.521232
-3175.725825,365,708.714411
-3211.160728,365,711.809554
-3164.872848,365,715.144228
-3144.72663,365,718.184106
-3174.576124,365,721.343248
-3125.855249,365,724.588448
-3179.209772,365,727.829347
-3173.225803,365,730.795183
-3146.573768,365,733.879237
-3143.582639,365,738.175951
