#{"t_start": 1777360775.067273, "env_id": "None"}
r,l,t
-3487.725364,365,580.79525
-3569.204423,365,585.820433
-3515.355625,365,590.85652
-3546.192695,365,595.893928
-3475.134801,365,600.893772
-3564.171196,365,605.868601
-3526.895279,365,610.821818
-3546.621963,365,615.861418
-3551.657127,365,623.393482
-3550.500986,365,628.362311
-3523.503896,365,633.396798
-3501.753298,365,638.375775
-3414.236977,365,643.407563
-3447.726903,365,648.384001
-3530.747071,365,653.348616
-3565.746246,365,658.399625
-3445.142962,365,663.449043
-3481.901102,365,668.49829
-3490.20248,365,673.498009
-3463.107897,365,678.569243
-3452.869234,365,683.666455
-3468.132162,365,691.813821
-3443.807398,365,696.717853
-3386.185118,365,701.720794
-3480.52319,365,706.723184
-3413.422825,365,711.670001
-3383.03208,365,716.705862
-3355.285237,365,721.696399
-3381.364058,365,726.715258
-3438.892309,365,731.676524
-3399.251187,365,736.684153
-3478.19336,365,741.686621
-3362.265387,365,746.691239
-3438.311341,365,751.672149
-3390.557619,365,756.720054
-3465.154949,365,764.18074
-3406.180494,365,769.127818
-3410.637213,365,774.089078
-3347.241834,365,779.080974
-3381.957747,365,784.078579
-3427.192867,365,789.119724
-3380.058645,365,794.088393
-3362.219476,365,799.175604
-3477.404689,365,803.729284
-3401.778574,365,808.645033
-3338.383232,365,813.24935
-3315.459452,365,818.164642
-3399.17317,365,823.369076
-3388.955108,365,829.198731
-3289.115066,365,837.070407
-3359.903305,365,842.437542
-3407.217646,365,847.456407
-3442.07014,365,852.453762
-3410.766982,365,857.449164
-3448.45173,365,862.494206
-3462.931887,365,867.535681
-3461.845593,365,872.566624
-3368.844558,365,877.753637
-3356.221922,365,882.891754
-3376.764923,365,888.7213
-3373.787135,365,894.104598
-3363.669815,365,900.112172
-3392.091039,365,905.898069
-3377.53038,365,913.870175
-3362.97331,365,919.134252
-3362.13832,365,924.249024
-3404.364268,365,929.877165
-3338.840485,365,935.941369
-3420.090745,365,940.902254
-3451.901673,365,946.44427
-3355.374811,365,952.193838
-3441.098897,365,957.402973
-3353.863666,365,962.434461
-3323.755805,365,967.799565
