#{"t_start": 1777365480.2934458, "env_id": "None"}
r,l,t
-32335.788137,365,23.394181
-34188.91569,365,23.466099
-35695.851834,365,23.539014
-36529.979987,365,23.612172
-35790.177523,365,23.684361
-33374.706622,365,23.757227
-36636.532779,365,23.831168
-36087.531098,365,23.906508
-33384.886436,365,23.981112
-34902.547733,365,24.054418
-35981.080219,365,24.129197
-35014.054333,365,24.204688
-34140.799342,365,24.279018
-33520.519755,365,24.699111
-33332.738541,365,24.772034
-35854.769931,365,24.846049
-36352.798042,365,24.919989
-34204.436115,365,24.993462
-34955.858006,365,25.065652
-35242.024164,365,25.137219
-34515.521031,365,25.209084
-32728.31063,365,25.280979
-34759.953763,365,25.35242
-33308.47528,365,25.424545
-32552.017403,365,25.497462
-34901.915615,365,25.569415
-35246.45099,365,25.641202
-35537.226763,365,26.060529
-33125.733209,365,26.134788
-33276.771106,365,26.208647
-36489.043282,365,26.280926
-35602.11768,365,26.352472
-31609.12643,365,26.424927
-34310.8579,365,26.497945
-34760.343024,365,26.571163
-36176.8973,365,26.64432
-30594.892607,365,26.717199
-34214.023555,365,26.790257
-34486.937943,365,26.866592
-33451.804344,365,26.941327
-33168.026542,365,27.364016
-35797.414293,365,27.437057
-35437.389704,365,27.51028
-33702.314716,365,27.582723
-34399.422061,365,27.6566
-32440.878569,365,27.729108
-33808.180781,365,27.802222
-32234.238424,365,27.876025
-33336.760126,365,27.949106
-34305.087922,365,28.022669
-34178.313336,365,28.09494
-33991.359447,365,28.167126
-33786.162035,365,28.239347
-35270.440465,365,28.311952
-35216.520037,365,28.731166
-36984.234269,365,28.804879
-32837.489307,365,28.878497
-33592.530321,365,28.952219
-30994.028863,365,29.026094
-35936.76621,365,29.098559
-35458.592572,365,29.170977
-32226.14773,365,29.244858
-31882.353189,365,29.317424
-37264.207883,365,29.389411
-33670.803003,365,29.462832
-32164.91357,365,29.536443
-33949.43315,365,29.608102
-33665.794129,365,29.681748
-31977.469826,365,30.11975
-33166.010832,365,30.193496
-34200.665376,365,30.266342
-33090.973615,365,30.339567
-32836.674955,365,30.412599
-33494.961865,365,30.484843
-33339.590731,365,30.55654
-36120.030439,365,30.628021
-31727.48256,365,30.699453
-35648.308941,365,30.770869
-35514.277997,365,30.842391
-32887.632971,365,30.914874
-32834.601788,365,30.98648
-33165.766793,365,31.058829
-34102.573103,365,31.474656
-36056.828711,365,31.546422
-35255.964293,365,31.619072
-31690.754192,365,31.690963
-31614.078826,365,31.763528
-32895.508712,365,31.835335
-34429.028733,365,31.907392
-33460.24619,365,31.981076
-33727.798179,365,32.05256
-34793.404581,365,32.124156
-33187.255662,365,32.196092
-33828.873998,365,32.267788
-33087.777835,365,32.341179
-32748.020416,365,32.759107
-35533.194148,365,32.833294
-32927.230911,365,32.907593
-34907.60961,365,32.981999
-34023.202311,365,33.0557
-33584.87602,365,33.129264
-33406.127171,365,33.202438
-32389.576115,365,33.274892
-31566.379409,365,33.347439
-33637.91242,365,33.421004
-31474.324264,365,33.4925
-34173.463687,365,33.564991
-32388.847875,365,33.638248
-33179.387489,365,33.710356
-33861.620006,365,34.128068
-34116.880779,365,34.212785
-32633.690301,365,34.318758
-32018.219808,365,34.393934
-32409.683771,365,34.467682
-32570.064262,365,34.541761
-32356.897052,365,34.615264
-32184.086841,365,34.689019
-32075.87159,365,34.838559
-33714.369309,365,34.917979
-33738.369556,365,34.99444
-33712.221086,365,35.072402
-32844.721426,365,35.147605
-32210.001508,365,35.224479
-32853.429504,365,35.650894
-32121.713487,365,35.724927
-31438.590975,365,35.800179
-33632.100671,365,35.879507
-33934.178705,365,35.955773
-32771.953007,365,36.031322
-31909.188047,365,36.105992
-33878.943506,365,36.180017
-33273.195165,365,36.253863
-34419.763306,365,36.328393
-33058.128345,365,36.401891
-34545.570574,365,36.475526
-33333.937229,365,36.548943
-33152.194194,365,36.96732
-32350.208109,365,37.041179
-31761.837035,365,37.115652
-33099.855801,365,37.189859
-33159.814546,365,37.263457
-31151.892336,365,37.337607
-31557.234412,365,37.412759
-32725.008661,365,37.489955
-33350.470506,365,37.566793
-30636.20774,365,37.641913
-32620.151534,365,37.716048
-33948.991446,365,37.790813
-34573.020903,365,37.865475
-32922.070328,365,37.940207
-31304.66581,365,38.44886
-31986.217125,365,38.52436
-34088.128629,365,38.600033
-34258.174526,365,38.675984
-32938.536696,365,38.750254
-33772.566505,365,38.82493
-33622.063812,365,38.900478
-29554.409796,365,38.974752
-31642.941025,365,39.048976
-31229.498045,365,39.12429
-32159.304906,365,39.19918
-32983.980627,365,39.272972
-34384.034493,365,39.34654
-32141.490147,365,39.418666
-32879.248899,365,39.839815
-33579.454488,365,39.912666
-31618.022806,365,39.985036
-30508.549505,365,40.067158
-32483.661576,365,40.142021
-32272.123207,365,40.215975
-31832.586235,365,40.291228
-30965.328278,365,40.366098
-32459.028027,365,40.440001
-32423.505403,365,40.51396
-31088.115567,365,40.642928
-30745.803557,365,40.720461
-31891.213021,365,40.798001
-31550.468355,365,41.229672
-28841.941369,365,41.304162
-31322.349691,365,41.478164
-31634.108842,365,41.55593
-32650.027371,365,41.632034
-31448.316114,365,41.71013
-31257.368463,365,41.786687
-32747.217188,365,41.863052
-30984.697876,365,41.939127
-31483.177328,365,42.016525
-31135.93772,365,42.095949
-32467.555862,365,42.172976
-33018.306205,365,42.249677
-31606.771018,365,42.326098
-32259.561118,365,42.763072
-31895.807174,365,42.838581
-31915.117885,365,42.915005
-30404.780183,365,42.991492
-30163.098591,365,43.068211
-31667.168712,365,43.146724
-33036.863857,365,43.222684
-32603.191678,365,43.299444
-30351.921761,365,43.375656
-32547.066459,365,43.449731
-32373.774771,365,43.524213
-32764.178622,365,43.597645
-30405.027266,365,43.670787
-32728.355757,365,43.743212
-32514.607494,365,44.165349
-29676.730889,365,44.240914
-32839.04705,365,44.338369
-30772.550824,365,44.4156
-29743.12548,365,44.490785
-30378.516662,365,44.570011
-32699.040097,365,44.646627
-31406.376904,365,44.722837
-30770.785008,365,44.800243
-30526.015128,365,44.877854
-31622.682095,365,44.953534
-29161.726277,365,45.028001
-32682.04366,365,45.102967
-32696.63387,365,45.178238
-32888.250718,365,45.601782
-31290.812031,365,45.678054
-30653.392717,365,45.754955
-30826.163446,365,45.831383
-30286.023616,365,45.907979
-29757.758748,365,45.984523
-30552.970937,365,46.059519
-30705.272088,365,46.136666
-31385.366991,365,46.213733
-33514.020424,365,46.289961
-30981.403036,365,46.366351
-31082.690907,365,46.44249
-31955.159966,365,46.517119
-31833.565716,365,46.936914
-31822.774196,365,47.010525
-31348.151825,365,47.084225
-27580.309023,365,47.158217
-31307.347869,365,47.231773
-32152.728587,365,47.305151
-31583.601678,365,47.378392
